ID,past_0_29,past_30_59,past_60_89,past_90_119,past_120_149,past_150_plus,paid_off_month,no_loan_month,total_months,never_had_loan
5001711,3,,,,,,,1,4,0
5001712,10,,,,,,9,,19,0
5001713,,,,,,,,22,22,1
5001714,,,,,,,,15,15,1
5001715,,,,,,,,60,60,1
5001717,17,,,,,,5,,22,0
5001718,24,2,,,,,3,10,39,0
5001719,2,,,,,,41,,43,0
5001720,29,7,,,,,,,36,0
5001723,8,,,,,,,23,31,0
5001724,,,,,,,22,9,31,0
5001725,7,,,,,,,1,8,0
5001726,6,,,,,,33,,39,0
5001728,1,,,,,,,,1,0
5001729,6,,,,,,1,,7,0
5001730,5,,,,,,56,,61,0
5001731,,,,,,,,11,11,1
5001732,,,,,,,,36,36,1
5001733,,,,,,,,11,11,1
5001734,3,,,,,,,,3,0
5001735,1,,,,,,23,,24,0
5001736,4,,,,,,20,,24,0
5001737,12,,,,,,10,,22,0
5001738,12,,,,,,32,,44,0
5001739,12,,,,,,46,,58,0
5001742,10,,,,,,36,1,47,0
5001743,1,,,,,,26,14,41,0
5001744,5,,,,,,24,,29,0
5001745,10,,,,,,,1,11,0
5001746,11,,,,,,,1,12,0
5001747,16,,,,,,12,,28,0
5001748,6,,,,,,28,,34,0
5001754,1,,,,,,,11,12,0
5001755,5,,,,,,6,,11,0
5001756,1,,,,,,16,2,19,0
5001757,13,1,,,,,,7,21,0
5001758,24,,,,,,,23,47,0
5001759,15,,,,,,4,1,20,0
5001760,6,,,,,,24,,30,0
5001765,6,,,,,,26,,32,0
5001766,1,,,,,,25,,26,0
5001767,2,,,,,,,13,15,0
5001768,7,,,,,,,1,8,0
5001769,11,,,,,,,6,17,0
5001770,11,,,,,,,6,17,0
5001771,14,,,,,,,1,15,0
5001772,23,,,,,,,,23,0
5001773,17,,,,,,7,,24,0
5001774,2,,,,,,25,,27,0
5001775,3,,,,,,30,,33,0
5001778,,,,,,,,36,36,1
5001779,,,,,,,,46,46,1
5001780,,,,,,,,46,46,1
5001782,6,,,,,,,,6,0
5001783,14,,,,,,,6,20,0
5001784,11,,,,,,,3,14,0
5001785,6,,,,,,,8,14,0
5001786,20,1,,,,,38,,59,0
5001787,,,,,,,,17,17,1
5001788,,,,,,,,17,17,1
5001789,,,,,,,22,11,33,0
5001790,12,,,,,,7,1,20,0
5001791,22,,,,,,,2,24,0
5001792,21,3,,,,,,1,25,0
5001793,20,7,,,,,,,27,0
5001794,9,,,,,,27,,36,0
5001795,,,,,,,,38,38,1
5001796,,,,,,,,41,41,1
5001798,4,,,,,,52,2,58,0
5001800,4,,,,,,,,4,0
5001803,,,,,,,,47,47,1
5001804,6,,,,,,4,,10,0
5001805,4,,,,,,19,,23,0
5001806,12,,,,,,23,,35,0
5001807,11,,,,,,37,,48,0
5001808,12,,,,,,45,,57,0
5001812,23,,,,,,,,23,0
5001813,,,,,,,,12,12,1
5001816,10,1,,,,,,1,12,0
5001817,5,2,,,,,,4,11,0
5001818,6,,,,,,48,4,58,0
5001819,,,,,,,,43,43,1
5001820,2,,,,,,10,,12,0
5001821,3,,,,,,,6,9,0
5001823,8,,,,,,,,8,0
5001824,37,,,,,,,,37,0
5001825,3,,,,,,,1,4,0
5001827,,,,,,,,54,54,1
5001828,9,,,,,,,,9,0
5001829,14,,,,,,,14,28,0
5001830,1,,,,,,9,,10,0
5001831,23,,,,,,,,23,0
5001832,5,,,,,,23,,28,0
5001833,4,,,,,,29,,33,0
5001836,24,2,,,,,,12,38,0
5001837,14,,,,,,44,,58,0
5001838,39,,,,,,,,39,0
5001839,9,,,,,,7,,16,0
5001840,16,,,,,,4,,20,0
5001841,2,,,,,,16,,18,0
5001842,11,,,,,,,11,22,0
5001843,6,,,,,,19,3,28,0
5001844,19,1,,,,,16,12,48,0
5001846,10,,,,,,,6,16,0
5001847,23,,,,,,,16,39,0
5001848,31,1,,,,,,6,38,0
5001849,7,,,,,,2,,9,0
5001850,10,,,,,,1,,11,0
5001851,1,,,,,,11,,12,0
5001852,2,,,,,,13,,15,0
5001853,8,,,,,,9,,17,0
5001854,3,,,,,,16,,19,0
5001855,3,,,,,,20,,23,0
5001856,2,1,,,,,27,,30,0
5001857,33,,,,,,,5,38,0
5001858,12,,,,,,20,,32,0
5001859,4,,,,,,30,,34,0
5001860,,,,,,,,2,2,1
5001861,,,,,,,,33,33,1
5001862,,,,,,,,38,38,1
5001863,,,,,,,,38,38,1
5001864,,,,,,,,38,38,1
5001867,1,,,,,,9,,10,0
5001870,,,,,,,,35,35,1
5001871,,,,,,,,14,14,1
5001872,1,,,,,,,,1,0
5001873,30,,,,,,,4,34,0
5001874,26,,,,,,,4,30,0
5001875,,,,,,,,16,16,1
5001876,20,,,,,,,,20,0
5001877,16,,,,,,,,16,0
5001879,,,,,,,,7,7,1
5001882,1,,,,,,4,,5,0
5001883,10,,,,,,42,,52,0
5001886,8,,,,,,,,8,0
5001887,2,,,,,,,,2,0
5001888,52,2,,,,,,1,55,0
5001889,41,,,,,,,,41,0
5001890,6,,,,,,19,,25,0
5001891,9,,,,,,42,1,52,0
5001892,,,,,,,51,4,55,0
5001893,3,,,,,,,12,15,0
5001894,9,,,,,,,42,51,0
5001895,6,,,,,,27,1,34,0
5001896,6,1,,,,,9,,16,0
5001897,3,,,,,,,1,4,0
5001898,12,,,,,,4,11,27,0
5001899,3,,,,,,,39,42,0
5001900,14,,,,,,42,,56,0
5001901,6,,,,,,29,8,43,0
5001902,3,,,,,,,1,4,0
5001904,1,,,,,,,50,51,0
5001905,12,,,,,,42,2,56,0
5001906,10,,,,,,41,,51,0
5001907,3,,,,,,,2,5,0
5001908,1,,,,,,,,1,0
5001909,1,,,,,,,,1,0
5001910,1,,,,,,2,,3,0
5001911,1,,,,,,4,,5,0
5001912,,,,,,,6,,6,0
5001913,,,,,,,10,1,11,0
5001914,1,,,,,,11,,12,0
5001915,1,,,,,,,10,11,0
5001916,1,,,,,,,10,11,0
5001917,1,,,,,,,10,11,0
5001918,7,4,,,,,4,,15,0
5001919,5,,,,,,15,,20,0
5001920,16,,,,,,,,16,0
5001921,8,,,,,,8,4,20,0
5001922,7,1,,,,,19,9,36,0
5001923,7,3,,,,,38,,48,0
5001924,1,,,,,,,2,3,0
5001925,1,,,,,,,2,3,0
5001926,5,1,,,,,,2,8,0
5001927,22,2,,,,,,23,47,0
5001931,5,,,,,,,7,12,0
5001932,24,,,,,,,7,31,0
5001933,1,1,,,,,27,,29,0
5001936,26,,,,,,15,,41,0
5001940,20,,,,,,11,,31,0
5001941,36,,,,,,24,,60,0
5001942,10,,,,,,45,,55,0
5001943,10,,,,,,39,8,57,0
5001944,24,,,,,,,,24,0
5001945,11,,,,,,,,11,0
5001946,24,,,,,,,,24,0
5001947,8,,,,,,30,,38,0
5001948,59,,,,,,,,59,0
5001949,,,,,,,,22,22,1
5001950,,,,,,,,11,11,1
5001951,13,,,,,,2,7,22,0
5001952,8,,,,,,9,,17,0
5001953,8,,,,,,9,,17,0
5001954,1,,,,,,35,,36,0
5001956,10,,,,,,4,1,15,0
5001957,17,,,,,,,,17,0
5001958,1,,,,,,54,,55,0
5001959,16,1,,,,,,21,38,0
5001960,15,,,,,,,16,31,0
5001961,10,,,,,,,2,12,0
5001962,1,,,,,,,11,12,0
5001963,1,,,,,,,11,12,0
5001964,15,,,,,,,1,16,0
5001965,15,,,,,,23,,38,0
5001966,12,,,,,,36,,48,0
5001967,11,,,,,,21,2,34,0
5001968,12,,,,,,10,,22,0
5001970,34,,,,,,,,34,0
5001976,,,,,,,,39,39,1
5001982,1,,,,,,,57,58,0
5001983,51,,,,,,,,51,0
5001986,3,,,,,,50,,53,0
5001987,3,,,,,,49,,52,0
5001988,32,1,,,,,5,15,53,0
5001989,34,,,,,,,18,52,0
5001990,2,,,,,,49,1,52,0
5001991,6,,,,,,34,,40,0
5001993,,,,,,,,28,28,1
5001994,,,,,,,,28,28,1
5001995,,,,,,,,34,34,1
5001996,,,,,,,,34,34,1
5001997,,,,,,,,55,55,1
5001998,8,,,,,,,13,21,0
5001999,7,,,,,,17,1,25,0
5002000,11,,,,,,11,8,30,0
5002001,3,,,,,,54,,57,0
5002002,15,,,,,,,7,22,0
5002003,6,,,,,,43,1,50,0
5002004,2,,,,,,34,1,37,0
5002005,2,,,,,,31,,33,0
5002006,5,,,,,,10,11,26,0
5002007,1,,,,,,21,1,23,0
5002008,17,,,,,,17,1,35,0
5002009,10,,,,,,35,6,51,0
5002010,12,,,,,,2,,14,0
5002011,25,,,,,,,,25,0
5002012,11,,,,,,14,,25,0
5002013,5,,,,,,27,,32,0
5002015,30,,,,,,,5,35,0
5002016,6,,,,,,7,,13,0
5002018,,,,,,,,8,8,1
5002019,9,,,,,,45,,54,0
5002020,,,,,,,,38,38,1
5002021,4,,,,,,7,4,15,0
5002022,3,,,,,,18,2,23,0
5002023,11,,,,,,,11,22,0
5002024,2,,,,,,,10,12,0
5002025,5,,,,,,7,,12,0
5002026,26,,,,,,,28,54,0
5002028,4,,,,,,45,1,50,0
5002029,9,,,,,,,1,10,0
5002030,9,,,,,,,1,10,0
5002031,8,,,,,,33,,41,0
5002032,,,,,,,,40,40,1
5002033,,,,,,,,51,51,1
5002034,,,,,,,,58,58,1
5002035,,,,,,,,51,51,1
5002037,1,,,,,,,13,14,0
5002038,14,,,,,,,,14,0
5002039,7,,,,,,,2,9,0
5002041,3,,,,,,19,,22,0
5002042,33,3,,,,,14,,50,0
5002043,21,,,,,,,2,23,0
5002044,20,2,,,,,,1,23,0
5002046,,,,,,,,37,37,1
5002047,6,,,,,,43,,49,0
5002048,6,,,,,,18,,24,0
5002049,10,,,,,,16,,26,0
5002050,30,,,,,,,,30,0
5002052,,,,,,,,16,16,1
5002053,,,,,,,,27,27,1
5002054,,,,,,,,31,31,1
5002055,,,,,,,,45,45,1
5002057,6,,,,,,21,,27,0
5002058,10,,,,,,50,,60,0
5002059,9,,,,,,,36,45,0
5002060,10,,,,,,45,,55,0
5002061,20,1,,,,,,,21,0
5002062,10,,,,,,,1,11,0
5002068,5,,,,,,34,1,40,0
5002069,1,,,,,,27,,28,0
5002070,11,,,,,,,1,12,0
5002071,9,,,,,,,,9,0
5002072,5,,,,,,12,,17,0
5002073,6,,,,,,28,,34,0
5002076,,,,,,,,11,11,1
5002077,2,,,,,,,6,8,0
5002078,18,,,,,,,7,25,0
5002079,12,,,,,,,4,16,0
5002080,9,,,,,,,1,10,0
5002081,10,,,,,,,1,11,0
5002082,10,,,,,,,1,11,0
5002083,4,,,,,,16,,20,0
5002084,14,,,,,,,,14,0
5002085,24,1,,,,,9,1,35,0
5002087,5,,,,,,15,,20,0
5002088,1,,,,,,35,,36,0
5002091,8,1,,,,,40,,49,0
5002094,5,,,,,,,28,33,0
5002096,,,,,,,40,2,42,0
5002097,9,,,,,,43,,52,0
5002098,29,,,,,,,14,43,0
5002101,2,,,,,,41,1,44,0
5002104,9,,,,,,31,1,41,0
5002105,14,1,,,,,16,5,36,0
5002106,2,,,,,,8,2,12,0
5002107,19,,,,,,12,,31,0
5002108,10,1,,,,,42,3,56,0
5002109,6,,,,,,7,,13,0
5002110,5,,,,,,,1,6,0
5002111,5,,,,,,,3,8,0
5002112,,,,,,,13,6,19,0
5002113,,,,,,,,17,17,1
5002114,,,,,,,,17,17,1
5002115,1,,,,,,22,,23,0
5002116,6,,,,,,32,3,41,0
5002118,7,,,,,,,1,8,0
5002120,4,,,,,,22,1,27,0
5002121,18,,,,,,,,18,0
5002123,12,1,,,,,2,6,21,0
5002124,4,,,,,,,,4,0
5002126,2,1,3,2,,,46,2,56,0
5002128,8,1,,,,,25,,34,0
5002130,16,,,,,,,19,35,0
5002131,49,,,,,,,,49,0
5002134,24,,,,,,20,,44,0
5002135,,,,,,,,10,10,1
5002138,13,,,,,,,31,44,0
5002140,14,,,,,,38,5,57,0
5002141,8,,,,,,13,2,23,0
5002142,36,,,,,,,,36,0
5002144,5,,,,,,8,4,17,0
5002145,23,,,,,,,,23,0
5002146,10,,,,,,13,,23,0
5002147,,,,,,,,50,50,1
5002148,7,,,,,,,2,9,0
5002149,12,,,,,,4,10,26,0
5002150,10,,,,,,26,,36,0
5002151,,,,,,,,25,25,1
5002152,,,,,,,,22,22,1
5002153,,,,,,,,25,25,1
5002154,10,1,,,,,,4,15,0
5002155,7,,,,,,31,13,51,0
5002156,7,,,,,,50,,57,0
5002157,7,,,,,,,2,9,0
5002158,5,,,,,,50,,55,0
5002160,58,,,,,,,3,61,0
5002161,3,,,,,,10,,13,0
5002162,8,,,,,,10,,18,0
5002163,5,,,,,,16,,21,0
5002164,4,,,,,,56,,60,0
5002165,61,,,,,,,,61,0
5002168,5,,,,,,,17,22,0
5002169,3,,,,,,,,3,0
5002170,13,,,,,,,8,21,0
5002171,10,,,,,,51,,61,0
5002175,,,,,,,36,13,49,0
5002176,,,,,,,,41,41,1
5002177,,,,,,,,41,41,1
5002178,,,,,,,,41,41,1
5002179,,,,,,,,41,41,1
5002181,22,,,,,,,23,45,0
5002182,26,,,,,,,11,37,0
5002183,22,,,,,,,18,40,0
5002186,14,,,,,,,5,19,0
5002189,3,,,,,,4,,7,0
5002190,5,,,,,,,2,7,0
5002191,8,,,,,,12,5,25,0
5002192,18,,,,,,,19,37,0
5002194,23,,,,,,,3,26,0
5002196,5,,,,,,,10,15,0
5002197,3,,,,,,,1,4,0
5002198,,,,,,,,19,19,1
5002199,,,,,,,,31,31,1
5002200,,,,,,,,43,43,1
5002201,14,,,,,,41,,55,0
5002202,18,,,,,,41,1,60,0
5002203,45,,,,,,,,45,0
5002204,6,,,,,,,1,7,0
5002205,1,,,,,,,6,7,0
5002206,20,,,,,,11,,31,0
5002207,4,,,,,,,11,15,0
5002208,8,,,,,,32,,40,0
5002209,9,,,,,,,1,10,0
5002216,11,,,,,,,1,12,0
5002217,27,,,,,,,1,28,0
5002218,16,,,,,,8,,24,0
5002219,23,1,,,,,12,,36,0
5002220,18,1,,,,,13,,32,0
5002221,10,,,,,,26,1,37,0
5002222,3,,,,,,10,,13,0
5002223,,,,,,,,43,43,1
5002224,,,,,,,,40,40,1
5002225,3,6,,,,,,2,11,0
5002226,,,,,,,,9,9,1
5002227,6,,,,,,4,,10,0
5002228,,,,,,,,47,47,1
5002229,,,,,,,11,10,21,0
5002230,17,1,,,,,,5,23,0
5002231,11,,,,,,25,,36,0
5002232,12,1,,,,,,,13,0
5002233,15,,,,,,,15,30,0
5002234,3,,,,,,21,,24,0
5002235,,,,,,,,21,21,1
5002236,12,,,,,,,8,20,0
5002237,7,,,,,,,4,11,0
5002238,5,,,,,,,44,49,0
5002239,5,,,,,,50,1,56,0
5002241,4,,,,,,,,4,0
5002242,1,,,,,,5,,6,0
5002243,24,,,,,,7,,31,0
5002244,6,,,,,,15,,21,0
5002245,8,1,,,,,,1,10,0
5002246,8,,,,,,37,,45,0
5002247,10,,,,,,22,,32,0
5002248,19,,,,,,,,19,0
5002249,8,,,,,,,,8,0
5002250,17,,,,,,,,17,0
5002251,,,,,,,,24,24,1
5002253,10,2,,,,,,,12,0
5002254,21,3,,,,,,,24,0
